user_id;date;muscle_group;exercise;weight;reps
Ваня;2025-03-25;Грудь;Жим в хаммере;20.0;9
Ваня;2025-03-25;Грудь;Брусья в тренажере;49.0;6
Ваня;2025-03-25;Спина;Тяга вертикального блока;49.0;5
Ваня;2025-03-25;Спина;Тяга вертикального блока за голову;40.0;10
Ваня;2025-03-25;Трицепс;Разгибания руки за голову;3.0;12
Олег;2025-03-26;Грудь;Жим лежа;74.0;1
Ваня;2025-03-29;Плечи;Жим гантелей сидя;12.0;6
Ваня;2025-03-29;Плечи;Махи вперед;6.0;10
Ваня;2025-03-29;Бицепс;Подъем v-образной штанги;17.0;6
Ваня;2025-03-29;Бицепс;Молотки;7.0;4
Ваня;2025-03-29;Ноги;Присед в тренажере;60.0;10
Ваня;2025-03-29;Икры;Тренажер сидя;25.0;10
Ваня;2025-04-01;Грудь;Жим в хаммере;20.0;12
Ваня;2025-04-01;Грудь;Брусья в тренажере;49.0;8
Ваня;2025-04-01;Грудь;Разведение гантелей;8.0;10
Ваня;2025-04-01;Бицепс;Подъем v-образной штанги;17.0;8
Ваня;2025-04-01;Бицепс;Молотки;7.0;8
Ваня;2025-04-04;Спина;Тяга вертикального блока;49.0;8
Ваня;2025-04-04;Спина;Тяга вертикального блока за голову;45.0;10
Ваня;2025-04-04;Спина;Тяга горизонтального блока;40.0;8
Ваня;2025-04-04;Трицепс;Разгибание рук в блоке;31.0;5
Ваня;2025-04-04;Трицепс;Французский жим;10.0;8
Ваня;2025-04-05;Плечи;Жим гантелей сидя;12.0;8
Ваня;2025-04-05;Плечи;Махи вперед;7.0;8
Ваня;2025-04-05;Ноги;Разгибания;45.0;12
Ваня;2025-04-05;Ноги;Присед в тренажере;75.0;8
Ваня;2025-04-05;Ноги;Сгибания;27.0;10
Ваня;2025-04-05;Икры;Тренажер сидя;30.0;10
Ваня;2025-04-08;Грудь;Жим в хаммере;20.0;(10, 10, 10)
Ваня;2025-04-08;Грудь;Разведение гантелей;8.0;(10, 10, 10)
Ваня;2025-04-08;Грудь;Брусья в тренажере;45.0;(8, 8, 6)
Ваня;2025-04-08;Бицепс;Подъем v-образной штанги;15.0;(10, 10, 10)
Ваня;2025-04-08;Бицепс;Молотки;6.0;(10, 10, 10)
Ваня;2025-04-10;Спина;Тяга вертикального блока;49.0;(10, 10, 10)
Ваня;2025-04-10;Спина;Тяга вертикального блока за голову;45.0;(10, 10, 10)
Ваня;2025-04-10;Спина;Тяга горизонтального блока;40.0;(10, 10, 8)
Ваня;2025-04-10;Трицепс;Разгибание рук в блоке;31.0;(8, 8, 8)
Ваня;2025-04-12;Трицепс;Французский жим;10.0;(10, 10, 10)
Ваня;2025-04-12;Плечи;Жим гантелей сидя;12.0;(13, 13, 13)
Ваня;2025-04-12;Плечи;Махи вперед;6.0;(14, 14, 14)
Ваня;2025-04-12;Ноги;Разгибания;40.0;(14, 14, 14)
Ваня;2025-04-12;Ноги;Сгибания;27.0;(14, 14, 14)
Ваня;2025-04-12;Ноги;Присед в тренажере;50.0;(14, 14, 14)
Ваня;2025-04-12;Икры;Тренажер сидя;25.0;(14, 13, 12)
Ваня;2025-04-15;Грудь;Жим штанги в наклоне;30.0;(14, 12, 11)
Ваня;2025-04-15;Бицепс;Подъем v-образной штанги;15.0;(14, 12, 11)
Ваня;2025-04-15;Грудь;Брусья;18.0;(14, 13)
Ваня;2025-04-15;Бицепс;Молотки;6.0;(14, 14, 14)
Ваня;2025-04-17;Спина;Тяга вертикального блока;49.0;(14, 13, 10)
Ваня;2025-04-17;Трицепс;Разгибание рук в блоке;31.0;(14, 12, 9)
Ваня;2025-04-17;Спина;Тяга вертикального блока за голову;45.0;(12, 10, 7)
Ваня;2025-04-17;Трицепс;Французский жим;10.0;(14, 14, 14)
Ваня;2025-04-22;Плечи;Жим гантелей сидя;10.0;(14, 14, 14, 15)
Ваня;2025-04-22;Плечи;Махи вперед;7.0;(12, 11, 11)
Ваня;2025-04-22;Ноги;Болгарские выпады;20.0;(10,)
Ваня;2025-04-22;Грудь;Жим штанги в наклоне;30.0;(14, 14)
Ваня;2025-04-22;Грудь;Жим штанги в наклоне;32.5;(9,)
Ваня;2025-04-22;Бицепс;Подъем v-образной штанги;17.0;(10,)
Ваня;2025-04-22;Грудь;Брусья;13.0;(10,)
Ваня;2025-04-22;Бицепс;Молотки;8.0;(10,)
Ваня;2025-04-26;Трицепс;Разгибание рук в блоке;36.0;(8,)
Ваня;2025-04-26;Спина;Тяга вертикального блока за голову;36.0;(14,)
Ваня;2025-04-26;Трицепс;Французский жим;12.5;(14, 14, 10)
Ваня;2025-04-30;Плечи;Жим гантелей сидя;12.0;(14, 10, 8)
Ваня;2025-04-30;Плечи;Махи вперед;6.0;(12, 12, 10)
Ваня;2025-04-30;Ноги;Присед в тренажере;70.0;(8,)
Ваня;2025-04-30;Икры;Тренажер стоя;13.0;(20, 20, 20)
Ваня;2025-05-14;Грудь;Жим гантелей в наклоне;16.0;(10, 10, 10)
Ваня;2025-05-14;Грудь;Разведение гантелей;10.0;(10, 10, 10)
Ваня;2025-05-14;Бицепс;Скотт;18.0;(10, 10, 7)
Ваня;2025-05-14;Бицепс;Молотки;8.0;(10, 9, 7)
Ваня;2025-05-16;Спина;Тяга вертикального блока;54.0;(10, 8, 6)
Ваня;2025-05-16;Спина;Тяга горизонтального блока;36.0;(12, 12, 10)
Ваня;2025-05-16;Трицепс;Французский жим;15.0;(8, 8, 10)
Ваня;2025-05-18;Плечи;Жим гантелей сидя;14.0;(10, 11, 10)
Ваня;2025-05-18;Плечи;Махи вперед;6.0;(12, 12, 12)
Ваня;2025-05-18;Плечи;Махи вперед;7.0;(9,)
Ваня;2025-05-18;Ноги;Присед в тренажере;75.0;(10, 10, 10)
Ваня;2025-05-18;Ноги;Жим ногами;50.0;(10,)
Ваня;2025-05-20;Икры;Тренажер стоя;18.0;(20, 20, 20)
Ваня;2025-05-20;Грудь;Жим гантелей в наклоне;16.0;(12, 12, 10)
Ваня;2025-05-20;Грудь;Разведение гантелей;10.0;(12, 12)
Ваня;2025-05-20;Грудь;Разведение гантелей;12.0;(6,)
Ваня;2025-05-20;Бицепс;Скотт;18.0;(12, 11, 10)
Ваня;2025-05-20;Бицепс;Молотки;9.0;(9, 8)
Ваня;2025-05-22;Спина;Тяга вертикального блока;54.0;(12, 10, 8)
Ваня;2025-05-22;Спина;Тяга вертикального блока;58.0;(0,)
Ваня;2025-05-22;Спина;Тяга горизонтального блока;40.0;(10, 10, 10)
Ваня;2025-05-22;Трицепс;Разгибание рук в блоке;40.0;(12, 7, 8)
Ваня;2025-05-22;Трицепс;Французский жим;15.0;(12, 9, 8)
Ваня;2025-05-22;Вес;Вес;65.05;(0,)
Ваня;2025-05-24;Плечи;Жим гантелей сидя;14.0;(12, 8, 8)
Ваня;2025-05-24;Плечи;Жим сидя в рычажном;10.0;(12, 12, 12)
Ваня;2025-05-24;Плечи;Махи вперед;7.0;(12, 12, 12)
Ваня;2025-05-24;Ноги;Разгибания;45.0;(12, 12, 12)
Ваня;2025-05-24;Ноги;Жим ногами;75.0;(12, 12, 10)
Ваня;2025-05-27;Грудь;Жим гантелей в наклоне;18.0;(10, 8, 8)
Ваня;2025-05-27;Грудь;Разведение гантелей;10.0;(10, 10, 10)
Ваня;2025-05-27;Бицепс;Скотт;22.0;(10, 7)
Ваня;2025-05-27;Бицепс;Молотки;9.0;(10, 9, 10)
Ваня;2025-05-27;Грудь;Брусья;0.0;(12,)
Ваня;2025-05-27;Вес;Вес;65.15;(0,)
Ваня;2025-05-29;Спина;Подтягивания;0.0;(6, 6, 6, 6, 6)
Ваня;2025-05-29;Спина;Тяга горизонтального блока;45.0;(10, 10, 10)
Ваня;2025-05-29;Трицепс;Разгибание рук в блоке;40.0;(11, 12, 9)
Ваня;2025-05-29;Трицепс;Брусья;22.0;(10, 10, 10, 10)
Ваня;2025-05-31;Плечи;Жим гантелей сидя;14.0;(12, 10, 10)
Ваня;2025-05-31;Плечи;Жим сидя в рычажном;15.0;(10, 12, 10)
Ваня;2025-05-31;Плечи;Махи вперед;8.0;(10, 11, 11)
Ваня;2025-05-31;Ноги;Разгибания;49.0;(12, 12, 12)
Ваня;2025-06-05;Грудь;Жим гантелей в наклоне;18.0;(12, 12, 10)
Ваня;2025-06-05;Грудь;Жим гантелей в наклоне;20.0;(0,)
Ваня;2025-06-05;Грудь;Брусья;0.0;(12, 10, 10)
Ваня;2025-06-05;Бицепс;Подъем v-образной штанги;20.0;(10, 8, 7)
Ваня;2025-06-05;Бицепс;Гантеля в скотте;9.0;(10,)
Ваня;2025-06-07;Спина;Подтягивания;0.0;(6, 10, 8, 6, 5)
Ваня;2025-06-07;Спина;Тяга горизонтального блока;45.0;(12, 11, 10)
Ваня;2025-06-07;Спина;Тяга вертикального блока;40.0;(12, 10)
Ваня;2025-06-07;Трицепс;Разгибание рук в блоке;40.0;(12, 11, 10)
Ваня;2025-06-07;Трицепс;Брусья;22.0;(12, 12, 12, 12)
Ваня;2025-06-07;Трицепс;Брусья;18.0;(0,)
Ваня;2025-06-07;Вес;Вес;66.45;(0,)
Ваня;2025-06-10;Плечи;Жим гантелей сидя;14.0;(12, 12, 12)
Ваня;2025-06-10;Плечи;Жим гантелей сидя;16.0;(0,)
Ваня;2025-06-10;Плечи;Жим сидя в рычажном;15.0;(12, 12, 10)
Ваня;2025-06-10;Плечи;Разведения в тренажере;13.0;(12, 12, 10)
Ваня;2025-06-10;Ноги;Разгибания;54.0;(12, 12)
Ваня;2025-06-10;Ноги;Жим ногами;80.0;(12, 12, 12)
Ваня;2025-06-10;Икры;Тренажер стоя;22.0;(20, 16, 18)
Ваня;2025-06-10;Вес;Вес;66.25;(0,)
Ваня;2025-06-13;Грудь;Жим гантелей в наклоне;20.0;(12, 12, 10)
Ваня;2025-06-13;Грудь;Брусья;0.0;(12, 11, 10)
Ваня;2025-06-13;Грудь;Бабочка;36.0;(10, 10, 10)
Ваня;2025-06-13;Бицепс;Подъем v-образной штанги;20.0;(12, 11, 8, 10)
Ваня;2025-06-13;Бицепс;Гантеля в скотте;9.0;(8, 9, 8)
Ваня;2025-06-13;Вес;Вес;67.15;(0,)
